id,name,duration,skills,job_placement_rate,cost,category,skills_list,duration_months
1,Web Development Bootcamp,12 weeks,"HTML,CSS,JavaScript,React",85,8000,Technology,"['HTML', 'CSS', 'JavaScript', 'React']",3.0
2,Data Science Fundamentals,16 weeks,"Python,SQL,Machine,Learning,Statistics",78,10000,Technology,"['Python', 'SQL', 'Machine', 'Learning', 'Statistics']",4.0
3,Healthcare Administration,8 weeks,"Medical,Billing,Healthcare,Regulations,Patient,Management",82,5500,Healthcare,"['Medical', 'Billing', 'Healthcare', 'Regulations', 'Patient', 'Management']",2.0
4,Cybersecurity Specialist,14 weeks,"Network,Security,Ethical,Hacking,Security,Compliance",88,9200,Technology,"['Network', 'Security', 'Ethical', 'Hacking', 'Security', 'Compliance']",3.5
5,Digital Marketing,10 weeks,"SEO,Social,Media,Marketing,Content,Creation,Analytics",75,6800,Business,"['SEO', 'Social', 'Media', 'Marketing', 'Content', 'Creation', 'Analytics']",2.5
6,Electrical Technician,20 weeks,"Circuit,Analysis,Electrical,Installation,Troubleshooting,Safety,Protocols",85,7500,Trades,"['Circuit', 'Analysis', 'Electrical', 'Installation', 'Troubleshooting', 'Safety', 'Protocols']",5.0
7,Nursing Assistant,12 weeks,"Patient,Care,Medical,Terminology,First,Aid,CPR",90,6000,Healthcare,"['Patient', 'Care', 'Medical', 'Terminology', 'First', 'Aid', 'CPR']",3.0
8,Graphic Design,14 weeks,"Adobe,Creative,Suite,Typography,Layout,Design,UI/UX",72,7800,Creative,"['Adobe', 'Creative', 'Suite', 'Typography', 'Layout', 'Design', 'UI/UX']",3.5
9,Business Administration,10 weeks,"Accounting,Management,Marketing,Finance",80,6500,Business,"['Accounting', 'Management', 'Marketing', 'Finance']",2.5
10,Culinary Arts,16 weeks,"Food,Preparation,Nutrition,Menu,Planning,Kitchen,Management",78,9000,Creative,"['Food', 'Preparation', 'Nutrition', 'Menu', 'Planning', 'Kitchen', 'Management']",4.0
11,HVAC Technician,18 weeks,"Heating,Systems,Cooling,Systems,Maintenance,Troubleshooting",88,8200,Trades,"['Heating', 'Systems', 'Cooling', 'Systems', 'Maintenance', 'Troubleshooting']",4.5
12,Software Engineering,24 weeks,"Java,Python,C++,Software,Design,Algorithms",92,12000,Technology,"['Java', 'Python', 'C++', 'Software', 'Design', 'Algorithms']",6.0
13,Medical Billing and Coding,12 weeks,"Medical,Terminology,Coding,Systems,Insurance,Processing",85,6800,Healthcare,"['Medical', 'Terminology', 'Coding', 'Systems', 'Insurance', 'Processing']",3.0
14,Automotive Repair,20 weeks,"Engine,Repair,Electrical,Systems,Diagnostics,Brake,Systems",82,9500,Trades,"['Engine', 'Repair', 'Electrical', 'Systems', 'Diagnostics', 'Brake', 'Systems']",5.0
15,Early Childhood Education,14 weeks,"Child,Development,Curriculum,Planning,Classroom,Management",75,5800,Education,"['Child', 'Development', 'Curriculum', 'Planning', 'Classroom', 'Management']",3.5
